,id,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
23,6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,0.0683,0.696,0.793,3.78e-06,0.18,-5.733,0.097,120.003,4,0
24,0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,0.345,0.838,0.525,1.92e-06,0.0771,-3.562,0.0665,144.981,4,0
25,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4,0
26,26b3oVLrRUaaybJulow9kz,People,Libianca,0.551,0.573,0.422,1.31e-05,0.102,-7.621,0.0678,124.357,5,0
27,2L9N0zZnd37dwF0clgxMGI,ceilings,Lizzy McAlpine,0.473,0.516,0.322,0.00194,0.215,-11.762,0.0292,148.005,3,0
28,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),Post Malone,0.121,0.733,0.67,0.0,0.121,-6.009,0.0751,100.964,4,0
29,73vIOb4Q7YN6HeJTbscRx5,Miss You,Oliver Tree,0.0128,0.587,0.742,0.00107,0.146,-6.64,0.0529,145.007,4,0
30,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0.148,0.637,0.715,0.0,0.0892,-4.971,0.0455,141.872,4,0
31,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,0.777,0.551,0.55,0.0,0.202,-5.339,0.0286,101.19,3,0
32,3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,Sam Smith,0.172,0.698,0.895,1.45e-05,0.409,-4.439,0.0628,114.914,4,0
33,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,0.298,0.714,0.728,0.0,0.106,-4.595,0.0468,114.996,4,0
34,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,4,0
35,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,0.805,0.358,0.284,0.0,0.183,-8.285,0.0285,99.796,3,0
36,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,153.15,3,0
37,1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,Måneskin,0.00151,0.519,0.595,0.0,0.0762,-5.001,0.0283,129.786,4,0
38,5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,Steve Lacy,0.626,0.686,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,4,0
39,59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,0.459,0.517,0.675,0.0,0.151,-5.382,0.0357,203.853,4,0
40,6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,0.0268,0.74,0.697,0.0,0.224,-4.912,0.034,138.992,4,0
41,5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,0.583,0.835,0.679,1.98e-06,0.218,-5.329,0.0364,124.98,4,0
42,0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,0.0206,0.773,0.742,0.0,0.0754,-3.678,0.046,114.071,4,0
43,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,3,0
44,1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,0.0369,0.792,0.503,0.00057,0.0959,-8.044,0.0626,99.97,4,0
45,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,4,0
46,4FAKtPVycI4DxoOHC01YqD,Yandel 150,Yandel,0.0492,0.783,0.729,0.000272,0.1,-3.549,0.0691,167.968,4,0
47,0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,159.969,4,0
48,0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,0.152,0.526,0.606,2.36e-06,0.194,-5.3,0.259,116.622,4,0
49,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,4,0
50,0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,0.0103,0.686,0.897,0.103,0.153,-7.18,0.0386,129.975,4,0
51,2eN0rxTtgxKkmVCNgizayr,Greatness,Quavo,0.0732,0.825,0.718,0.000157,0.142,-2.896,0.0518,139.983,4,0
52,52NGJPcLUzQq5w7uv4e5gf,Private Landing (feat. Justin Bieber & Future),Don Toliver,0.0846,0.843,0.669,1.28e-05,0.105,-4.105,0.0639,136.979,4,0
53,0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,0.152,0.526,0.606,2.36e-06,0.194,-5.3,0.259,116.622,4,0
54,7oLKoGzQVwjZ91AzCn560T,PAINTING PICTURES,Superstar Pride,0.305,0.956,0.515,0.0,0.156,-9.962,0.337,119.937,4,0
55,5BbdKBZO0TH0GhfxUfyhL9,Freestyle,Lil Baby,0.217,0.877,0.517,0.0,0.143,-5.426,0.0706,119.996,4,0
56,2fpTRcMLt4aKlqULOwuXUP,Shmunk (feat. YoungBoy Never Broke Again),Yeat,0.0204,0.744,0.647,0.000116,0.156,-7.301,0.111,141.929,4,0
57,2ehLKvUsJq3EUAPpvT5GOM,Kant Nobody (feat. DMX),Lil Wayne,0.282,0.509,0.78,0.0,0.111,-4.793,0.347,175.276,4,0
58,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,153.15,3,0
59,1iQxvF3AQ7Bs3RTBuXqZOA,Dirt,Key Glock,0.019,0.977,0.379,0.0,0.09,-15.617,0.255,126.961,4,0
60,5ObUmPrfvyC7IEOe3n8Z3J,Way Too Petty,DDG,0.128,0.886,0.64,6.69e-06,0.262,-8.567,0.134,123.977,4,0
61,2Qr5PWUt8XycAAv338LicY,Go Down (feat. TisaKorean),Don Toliver,0.201,0.582,0.571,0.0,0.358,-5.578,0.0566,143.892,4,0
62,5ht9obvnnWeW4eoRtPAoQD,Fact (feat. Lil Uzi Vert),Ghostluvme,0.181,0.779,0.684,0.0,0.0691,-4.963,0.108,124.034,4,0
63,4WuOWVnAqvEQxgSRrspBgt,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,0.189,0.671,0.658,8.66e-05,0.147,-5.567,0.309,87.933,4,0
64,1T4k0sw0HldDg004Kw4Oct,Forever (feat. Fridayy),Lil Baby,0.414,0.462,0.251,0.0,0.201,-12.072,0.159,89.705,3,0
65,6i5wxOzIv91jvGwi4gofGn,Raining (feat. Yung Bleu & Murda Beatz),G Herbo,0.563,0.729,0.724,0.0,0.517,-6.262,0.5,94.24,4,0
66,4MUlNqSrMeFAHA6VpJKMo8,No Time Wasted (feat. Future),Polo G,0.00642,0.513,0.495,0.0,0.3,-8.454,0.45,150.035,4,0
67,4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,150.187,4,0
68,6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,0.03,0.954,0.516,7.54e-06,0.0504,-5.817,0.16,105.001,4,0
69,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,0.324,0.69,0.521,0.0,0.0534,-8.492,0.339,100.028,4,0
70,5BmB3OaQyYXCqRyN8iR2Yi,Slut Me Out,NLE Choppa,0.117,0.938,0.606,0.0,0.528,-6.396,0.419,121.108,4,0
71,0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,Ice Spice,0.696,0.768,0.74,6.81e-06,0.23,-6.595,0.336,141.059,4,0
72,2i2qDe3dnTl6maUE31FO7c,Mad Max,Lil Durk,0.0212,0.898,0.64,0.0,0.0919,-8.796,0.255,149.988,4,0
73,0LHbGkO5BhmwzeDT8MDdpe,Undefeated,EST Gee,0.279,0.598,0.511,0.0,0.213,-7.788,0.352,162.019,4,0
74,0T0vseuNB4KC8opkrCLNbc,23,NLE Choppa,0.00424,0.852,0.487,2.18e-06,0.201,-7.991,0.204,120.013,4,0
75,0UMqDSXk4xvoCNRrIEPf7T,King Snipe,Gucci Mane,0.0103,0.818,0.526,0.0,0.146,-8.078,0.277,125.061,4,0
76,5xsr3QA0kvK4VFADzbUhUt,Out of State,Finesse2tymes,0.102,0.754,0.814,0.0,0.204,-4.291,0.237,143.993,4,0
77,2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,0.189,0.684,0.671,2.37e-05,0.122,-4.392,0.0464,88.048,4,0
78,5JS1gz9zP4GTy0LZYvSeUK,2 Million Up,Peezy,0.115,0.884,0.423,0.0,0.0895,-10.181,0.275,95.753,4,0
79,1a7tOEheXeaSNathZW4Gzk,Hanging With Wolves,Lil Durk,0.0168,0.823,0.636,0.0,0.108,-7.239,0.0612,151.978,4,0
80,3RKjTYlQrtLXCq5ncswBPp,"Hey, Mickey!",Baby Tate,0.579,0.912,0.507,0.0,0.167,-11.952,0.0587,134.978,4,0
81,7CpXFEjLntpr4GdOhTtFEv,"One Mic, One Gun",Nas,0.0351,0.756,0.916,0.0,0.241,-2.692,0.207,149.961,4,0
82,3084aAzars6DR26nCWO9Ep,Quickie,Moneybagg Yo,0.0901,0.87,0.506,0.0,0.145,-9.415,0.432,137.921,4,0
83,2UQ2oUbHiB8wWYCE42JX0k,My All,Polo G,0.0393,0.493,0.613,0.0,0.128,-6.636,0.414,156.104,4,0
84,1CJ8e0zc8uvAmkqdeXrq4u,Leave The Club (feat. Lil Durk & GloRilla),Don Toliver,0.122,0.747,0.701,0.0,0.323,-3.694,0.0338,104.995,4,0
85,3QHGfxhjexLaMKGHXagfRs,Hell Yeah,SoFaygo,0.000113,0.696,0.708,0.0,0.444,-4.737,0.0438,142.026,4,0
86,6yDPFrHZLQbQa9Itd2J4Gp,Water (Drowning Pt. 2) [feat. Kodak Black],A Boogie Wit da Hoodie,0.0392,0.855,0.603,0.0,0.105,-5.488,0.284,129.976,4,0
87,5c2IvJeaFx4m2DmOR1iryD,Internet Trolls,GloRilla,0.0432,0.765,0.882,0.0,0.353,-3.392,0.414,166.784,4,0
88,7k5lDslyLbcykzUOPGEdKR,Love For The Streets,Young Dolph,0.172,0.799,0.733,1.7e-05,0.332,-6.234,0.216,146.051,4,0
89,53acd3PVcgGCux58YABBr5,Conceited (feat. Lola Brooke & Maiya The Don),Flo Milli,0.0741,0.94,0.761,1.89e-05,0.59,-4.408,0.0979,118.027,4,0
90,6aGpM4DXts4pdRhVKbRYuk,Don't Play With It (feat. Billy B),Lola Brooke,0.00377,0.763,0.726,0.0,0.0719,-5.61,0.109,99.042,4,0
91,21wkixaulehrFctAvEhvQl,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",YG,0.0339,0.611,0.554,0.00418,0.183,-8.122,0.064,95.375,4,0
92,6IyoLWzljeR3ldQo4KWHT6,Out thë way,Yeat,0.21,0.767,0.628,8.79e-06,0.275,-7.41,0.242,128.07,4,0
93,4lxTmHPgoRWwM9QisWobJL,FTCU (feat. GloRilla & Gangsta Boo),Latto,0.0369,0.894,0.633,0.0,0.178,-5.294,0.298,145.11,4,0
94,4ZyivnzrvDWRjihgqxvXK8,JOC IN '06,DaBaby,0.0255,0.857,0.524,0.0,0.336,-11.931,0.279,137.943,4,0
95,7hrcHfHWaLhooHzGltlCYB,HO4ME,DJ Drama,0.0769,0.511,0.541,0.0,0.1,-10.1,0.421,101.228,3,0
96,1hnNjI1da0xqGhR81JFVdx,Self Esteem (featuring NLE Choppa),Lambo4oe,0.0135,0.366,0.699,0.0,0.135,-7.468,0.0564,97.201,4,0
97,3fNMgjG8yXaSam46swhz7w,KNIGHT CRAWLER (feat. Juice WRLD),Trippie Redd,0.0537,0.679,0.769,0.0,0.309,-3.539,0.24,130.094,4,0
98,7E68rHH6CrKbBYPfpiCLiQ,No 808’s (feat. Vory),A Boogie Wit da Hoodie,0.217,0.609,0.503,2.22e-06,0.121,-8.407,0.393,168.363,4,0
99,12Us8e6NFesdkXKf4StU1I,Me & You,Central Cee,0.0861,0.603,0.667,0.0,0.0745,-8.716,0.367,141.561,4,0
100,4iy69rTUn8cAY8Q8q9vfOw,Gold,Dierks Bentley,0.0482,0.674,0.873,0.0,0.18,-4.256,0.0285,115.01,4,0
101,5ZCjp56T8J6d7amJyFSzrI,Heart Like A Truck,Lainey Wilson,0.148,0.587,0.632,1.01e-05,0.158,-5.416,0.0311,139.974,4,0
102,6Qpfsw8OS5HW5XxgmXYLWS,Handle On You,Parker McCollum,0.00411,0.588,0.931,0.0,0.345,-3.925,0.0318,105.027,4,0
103,6KGtAlYvgm4W9PoYabFAYE,One Thing At A Time,Morgan Wallen,0.0042,0.614,0.913,1.72e-06,0.26,-5.126,0.0296,141.982,4,0
104,2DPqR0kuZVjrOF5oxIRYPy,Girl In Mine,Parmalee,0.167,0.459,0.682,0.0,0.11,-4.235,0.0464,201.831,4,0
105,2hsarLx1u2OgOmkcJ8ejBm,Somethin' Bout You,Mickey Guyton,0.0979,0.667,0.826,0.0,0.151,-3.412,0.0266,112.041,4,0
106,5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,0.0189,0.645,0.8,1.12e-05,0.0858,-4.272,0.0363,118.977,4,0
107,2lNTHWu2I5Tcz9ukWsV5Jj,Next Thing You Know,Jordan Davis,0.646,0.557,0.597,0.0,0.0974,-8.296,0.048,78.526,4,0
108,1jX9wlAgVkAl0fCZqkCI73,IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini,0.454,0.676,0.856,0.0,0.141,-4.35,0.0393,144.092,4,0
109,7ETjhPaIU4UmHOiimJBZz9,Your Heart Or Mine,Jon Pardi,0.0539,0.639,0.713,0.0,0.102,-4.368,0.0337,86.1,4,0
110,6Tm4Io4ct4w14nB1EUzsY3,Whiskey On You,Nate Smith,7.02e-05,0.479,0.768,0.00549,0.121,-5.204,0.0312,110.024,4,0
111,6Z1bV93BP95h4YjIavrQPf,Dancin’ In The Country,Tyler Hubbard,0.00408,0.655,0.869,0.0,0.104,-4.807,0.0633,114.984,4,0
112,3nei8eHEdiwwSfyoOCHPZI,If He Wanted To He Would,Kylie Morgan,0.0998,0.655,0.617,0.0,0.211,-4.716,0.026,90.015,4,0
113,6Awl7JBDQjfm7xkS3LkhDi,We Got History,Mitchell Tenpenny,0.0014,0.628,0.833,0.0,0.104,-6.327,0.0311,98.025,4,0
114,7kkLBfxW41iVO0cdLU9e9S,God Gave Me A Girl,Russell Dickerson,0.249,0.518,0.845,0.0,0.0764,-5.051,0.0647,142.133,4,0
115,6kCFt2ATuMIE5H9zVEJXei,That's What Tequila Does,Jason Aldean,0.224,0.522,0.801,0.0,0.301,-5.424,0.1,155.928,3,0
116,0isqpzdmr2hsKb50uBSCdo,Love You a Little Bit,Tanner Adell,0.0401,0.61,0.868,0.0,0.121,-4.098,0.0351,137.943,4,0
117,5AihIu9yF3flkw1jFMyfwW,Human,Cody Johnson,0.176,0.4,0.647,5.79e-05,0.11,-7.279,0.0337,84.08,4,0
118,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,3,0
119,5OLaVCAM2pqg7X9mAM2W8M,What He Didn't Do,Carly Pearce,0.257,0.628,0.632,0.0,0.288,-5.932,0.0325,137.854,4,0
120,1pbUfl4W9KtQ5hNkT6RiXp,Out In The Middle,Zac Brown Band,0.0237,0.516,0.867,0.0,0.106,-3.139,0.0328,166.031,4,0
121,3qXsX3mYSsD1DmAvc3PE3N,Love You Anyway,Luke Combs,0.149,0.532,0.489,0.0,0.237,-7.419,0.0311,139.807,4,0
122,1brnLTvarI9D1hLP6z2Ar8,Thank God,Kane Brown,0.695,0.738,0.455,0.0,0.107,-8.735,0.0352,99.945,4,0
123,4qbibbQ1yK0rPl0JUJS0bz,Every Night Every Morning,Maddie & Tae,0.00799,0.618,0.75,0.0,0.141,-4.608,0.0287,123.885,4,0
124,4viFAHmivkYQKkwLvwKOgg,Water Under The Bridge,Sam Hunt,0.0697,0.635,0.866,0.0,0.0955,-2.695,0.0473,133.889,4,0
125,5wtPc1OQ7g1H8FBkwWqbhh,Stars Like Confetti,Dustin Lynch,0.00714,0.623,0.874,0.0,0.143,-3.058,0.0329,109.97,4,0
126,0EAzZ4aKlERuRmAYIXcRX6,Songs We Used To Sing,ERNEST,0.434,0.359,0.579,0.0,0.104,-5.752,0.0282,89.721,4,0
127,4QWXSTeUHFzU0INh7SNqSU,Feel Like This,Ingrid Andress,0.141,0.536,0.605,0.0,0.0614,-5.292,0.0338,130.053,4,0
128,3fl4zil6HJ0N1FL3YIRwdC,Tennessee Orange,Megan Moroney,0.126,0.38,0.488,7.23e-06,0.115,-6.637,0.029,156.031,3,0
129,4cF4vuC7Ci29yhnbuoFRZx,On A Different Night,Josh Ross,0.0168,0.528,0.711,0.0,0.13,-5.494,0.0326,157.99,4,0
130,4aSRUXfKuBbmje0eXNukuL,It Matters To Her,Scotty McCreery,0.00528,0.516,0.752,3.78e-05,0.251,-5.09,0.0333,105.007,4,0
131,1xk2TQgJNtH3FErgICPgmb,A Special Place,Danielle Bradbery,0.00478,0.485,0.645,0.0,0.24,-4.367,0.0274,82.93,4,0
132,4686eQ81DEswHa90bcdlC9,Rock and A Hard Place,Bailey Zimmerman,0.577,0.582,0.568,0.0,0.105,-7.3,0.0275,121.991,3,0
133,5Jwcv2Le3Klwgrgyqa12ZA,You Didn’t,Brett Young,0.0421,0.623,0.466,1.45e-06,0.0996,-7.6,0.0265,81.98,3,0
134,6BWOWBSalJEp7woRZSyiMb,Strange,Miranda Lambert,0.0551,0.723,0.633,1.93e-05,0.0665,-6.982,0.0332,112.022,4,0
135,59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,0.459,0.517,0.675,0.0,0.151,-5.382,0.0357,203.853,4,0
136,5b4n4Lp2ZAPDGO9nQM5IHR,For What It’s Worth (feat. Alana Springsteen),BRELAND,0.0985,0.625,0.727,0.0,0.101,-4.532,0.0378,146.154,4,0
137,5JLf54f83nJrxD4IhFaLl7,Brown Eyes Baby,Keith Urban,0.0906,0.521,0.833,3.13e-06,0.0647,-6.992,0.0313,141.944,4,0
138,1KHCFA1Wb1MYQi4WQIYqrm,Y'all Life,Walker Hayes,0.0107,0.607,0.757,0.0,0.158,-6.778,0.0601,164.096,4,0
139,3zAOcNGOFq5Q1OsN0tcxA0,Everything She Ain’t,Hailey Whitters,0.175,0.796,0.621,0.0,0.274,-6.129,0.0346,121.904,4,0
140,418ve8CTLM3XbeGWSq8fA6,Way Down Yonder,Chase Rice,0.17,0.476,0.818,1.24e-05,0.13,-4.259,0.0388,144.131,4,0
141,2fBvSCdG3lDjImqJvnYtvq,Mountain With A View,Kelsea Ballerini,0.679,0.436,0.434,0.0,0.419,-7.153,0.0502,117.836,4,0
142,4oGCfTHN1hmXGy5mqmJVc3,Hate My Heart,Carrie Underwood,0.00958,0.524,0.923,0.0,0.102,-3.53,0.085,149.972,4,0
143,3sT4lmGZF9Gy6XaLYvwH7A,Sundown Somewhere,Restless Road,0.0425,0.602,0.892,1.03e-06,0.172,-4.394,0.0333,114.034,4,0
144,1116cRlf1zVJXVI2fUUwFD,Up There Down Here,Jake Owen,0.234,0.517,0.901,0.0,0.317,-3.51,0.039,150.033,4,0
145,16Sdmdt7jpibASwEsO0s9j,Worth A Shot (feat. Dierks Bentley),Elle King,0.00481,0.554,0.809,0.00156,0.111,-4.893,0.039,159.989,4,0
146,2DvOwcQd7RB5IV7MdlwpvN,Damn You,Ella Langley,0.0508,0.58,0.881,0.0,0.106,-3.004,0.042,76.989,4,0
147,57YkkgxAiusJPMtiSG3w3c,Doing Life With Me,Eric Church,0.73,0.646,0.598,5.87e-06,0.118,-10.293,0.0425,80.993,4,0
148,3knS4WXNNRBd3zkx2v78cx,No Body,Blake Shelton,0.0379,0.739,0.72,0.00267,0.23,-6.695,0.026,102.997,4,0
149,7trjNYF5ek7zX4GKSHQZbP,wait in the truck (feat. Lainey Wilson),HARDY,0.277,0.534,0.466,0.0,0.0979,-6.98,0.0272,140.0,4,0
150,0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,0.673,0.72,0.63,0.0,0.0936,-3.547,0.277,179.974,4,0
151,6Rpbzk2LC8xWZI93RyodAq,Hey Mor,Ozuna,0.00302,0.901,0.589,0.000237,0.0992,-6.713,0.289,98.002,4,0
152,2oiixB9QMIzhWaHGVlQx4g,Yandel 150,Yandel,0.0492,0.783,0.729,0.000272,0.1,-3.549,0.0691,167.968,4,0
153,3gOI5aQD4mOMLsP3aWrkon,TUS GAFITAS,KAROL G,0.315,0.821,0.696,1.07e-05,0.157,-5.796,0.043,122.005,4,0
154,5MxFWjuqQIsbNWbMdMdbli,La Jumpa,Arcángel,0.298,0.713,0.703,0.0,0.321,-5.769,0.194,123.06,4,0
155,3Zyk5Vd9WNPNVWxvb0EZTk,X SI VOLVEMOS,KAROL G,0.341,0.793,0.78,0.0,0.111,-4.247,0.249,178.046,4,0
156,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,0.274,0.778,0.632,0.0,0.0915,-5.6,0.0493,122.104,4,0
157,5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,0.583,0.835,0.679,1.98e-06,0.218,-5.329,0.0364,124.98,4,0
158,38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),Gorillaz,0.458,0.637,0.768,0.00192,0.378,-6.468,0.056,94.982,4,0
159,0mzsLrUNazBaRfYZfjmpSV,Bebe Dame,Fuerza Regida,0.296,0.537,0.602,0.0,0.0715,-4.631,0.0458,157.437,4,0
160,0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,Feid,0.114,0.743,0.831,6.43e-05,0.35,-4.042,0.0584,95.975,4,0
161,6WbAhuwE6fCOriBu5786X1,CAIRO,KAROL G,0.472,0.951,0.692,0.000182,0.0894,-4.038,0.312,115.047,4,0
162,2xVcCDRgG3TrH69TatsUxp,Cupido,TINI,0.521,0.913,0.584,5.36e-05,0.307,-5.263,0.223,119.873,4,0
163,0fADaWdT3obxk7zvHS18VY,PANTIES Y BRASIERES,Rauw Alejandro,0.34,0.758,0.888,0.00139,0.144,-2.851,0.0706,107.039,4,0
164,5Fh9fyHRnSwKLo4asG6fEX,La Fórmula,Maluma,0.407,0.574,0.925,0.0,0.259,-3.729,0.0648,95.738,4,0
165,0oBtwScT4B4BR5kZitNWd5,PUNTO G,Quevedo,0.251,0.751,0.761,0.000238,0.0991,-4.113,0.15,92.032,4,0
166,2oW52tBeJNSv93Ct5AJb8q,Una Noche Sin Pensar,Sebastian Yatra,0.0354,0.676,0.858,0.0,0.211,-2.636,0.0467,139.998,4,0
167,1DxEbt6OSbrkRthk6pjZue,MERCHO,LiL CaKe,0.431,0.838,0.79,3.33e-06,0.184,-1.602,0.108,92.927,4,0
168,2caVKAWz7oM5Hw3LDWWVnQ,CHAO BEBE,Ovy On The Drums,0.649,0.869,0.74,7.95e-06,0.135,-4.699,0.108,117.949,4,0
169,54ELExv56KCAB4UP9cOCzC,Gato de Noche,Ñengo Flow,0.169,0.892,0.662,1.24e-06,0.363,-3.894,0.162,93.976,4,0
